2022-10-12 16:28:49	[Main thread]	ERROR	PatientLevelPrediction	3	Error in checkInputs(inputs = list(plpData = plpData, outcomeId = outcomeId, : object 'populationSettings' not found 
2022-10-12 16:28:49	[Main thread]	FATAL	PatientLevelPrediction	runPlp	Settings are invalid - check log for error message
2022-10-12 16:29:08	[Main thread]	DEBUG	PatientLevelPrediction	checkInputs	binary : TRUEincludeAllOutcomes : TRUEfirstExposureOnly : FALSEwashoutPeriod : 364removeSubjectsWithPriorOutcome : TRUEpriorOutcomeLookback : 9999requireTimeAtRisk : TRUEminTimeAtRisk : 364riskWindowStart : 1startAnchor : cohort startriskWindowEnd : 365endAnchor : cohort startrestrictTarToCohortEnd : FALSE
2022-10-12 16:29:08	[Main thread]	DEBUG	PatientLevelPrediction	checkInputs	test : 0.25train : 0.75seed : 1234nfold : 2
2022-10-12 16:29:08	[Main thread]	DEBUG	PatientLevelPrediction	checkInputs	numberOutcomestoNonOutcomes : 1sampleSeed : 1
2022-10-12 16:29:08	[Main thread]	DEBUG	PatientLevelPrediction	checkInputs	 : 
2022-10-12 16:29:08	[Main thread]	DEBUG	PatientLevelPrediction	checkInputs	minFraction : 0.01normalize : TRUEremoveRedundancy : TRUE
2022-10-12 16:29:08	[Main thread]	DEBUG	PatientLevelPrediction	checkInputs	fitFunction : fitCyclopsModelparam : laplace-FALSE-0.01-0-20-0.01
2022-10-12 16:29:08	[Main thread]	DEBUG	PatientLevelPrediction	checkInputs	runSplitData : TRUErunSampleData : TRUErunfeatureEngineering : TRUErunPreprocessData : TRUErunModelDevelopment : TRUErunCovariateSummary : TRUE
2022-10-12 16:29:08	[Main thread]	INFO	PatientLevelPrediction	printHeader	Patient-Level Prediction Package version 6.0.4
2022-10-12 16:29:08	[Main thread]	INFO	PatientLevelPrediction	printHeader	Study started at: 2022-10-12 16:29:08
2022-10-12 16:29:08	[Main thread]	INFO	PatientLevelPrediction	printHeader	AnalysisID:         singleDemo
