"covariateId","covariateName","analysisId","conceptId","covariateValue"
4027663209,"condition_era group any time prior through -1 days relative to index: Peptic ulcer",209,4027663,1.64489101195723
1728416409,"drug_era group any time prior through -1 days relative to index: Penicillin G",409,1728416,-0.242127065952187
1112807409,"drug_era group any time prior through -1 days relative to index: Aspirin",409,1112807,-0.194947274816899
4218389209,"condition_era group any time prior through -1 days relative to index: Whiplash injury to neck",209,4218389,0.177315252581564
4156265209,"condition_era group any time prior through -1 days relative to index: Facial laceration",209,4156265,-0.143505109329279
920293409,"drug_era group any time prior through -1 days relative to index: Nitrofurantoin",409,920293,0.11168376748317
1503184409,"drug_era group any time prior through -1 days relative to index: Mestranol",409,1503184,-0.0974384127151458
1125315410,"drug_era group during day -365 through -1 days relative to index: Acetaminophen",410,1125315,-0.0843140010844054
1717327409,"drug_era group any time prior through -1 days relative to index: Ampicillin",409,1717327,-0.0799363612392941
4285898209,"condition_era group any time prior through -1 days relative to index: Polyp of colon",209,4285898,-0.0783911968303533
81151209,"condition_era group any time prior through -1 days relative to index: Sprain of ankle",209,81151,-0.045792506694416
4142905209,"condition_era group any time prior through -1 days relative to index: Fracture of rib",209,4142905,0.0428932468170359
4294548209,"condition_era group any time prior through -1 days relative to index: Acute bacterial sinusitis",209,4294548,-0.0387082907030217
1768849409,"drug_era group any time prior through -1 days relative to index: Cefaclor",409,1768849,0.0371336858312899
4285898210,"condition_era group during day -365 through -1 days relative to index: Polyp of colon",210,4285898,-3.7532995579939e-05
4283893210,"condition_era group during day -365 through -1 days relative to index: Sinusitis",210,4283893,0
260139210,"condition_era group during day -365 through -1 days relative to index: Acute bronchitis",210,260139,0
40481087210,"condition_era group during day -365 through -1 days relative to index: Viral sinusitis",210,40481087,0
30753210,"condition_era group during day -365 through -1 days relative to index: Esophagitis",210,30753,0
4112343210,"condition_era group during day -365 through -1 days relative to index: Acute viral pharyngitis",210,4112343,0
81893210,"condition_era group during day -365 through -1 days relative to index: Ulcerative colitis",210,81893,0
40486433210,"condition_era group during day -365 through -1 days relative to index: Perennial allergic rhinitis",210,40486433,0
80809210,"condition_era group during day -365 through -1 days relative to index: Rheumatoid arthritis",210,80809,0
4048171210,"condition_era group during day -365 through -1 days relative to index: Perennial allergic rhinitis with seasonal variation",210,4048171,0
4149245210,"condition_era group during day -365 through -1 days relative to index: Rupture of patellar tendon",210,4149245,0
4084167210,"condition_era group during day -365 through -1 days relative to index: Acute allergic reaction",210,4084167,0
8532001,"gender = FEMALE",1,8532,0
9201923,"visit_occurrence concept count during day -365 through -1 concept_count relative to index: Inpatient Visit",923,0,0
1002,"age in years",2,0,0
1124957409,"drug_era group any time prior through -1 days relative to index: Oxycodone",409,1124957,0
1125315409,"drug_era group any time prior through -1 days relative to index: Acetaminophen",409,1125315,0
1729720409,"drug_era group any time prior through -1 days relative to index: Penicillin V",409,1729720,0
1177480409,"drug_era group any time prior through -1 days relative to index: Ibuprofen",409,1177480,0
1759842409,"drug_era group any time prior through -1 days relative to index: Clavulanate",409,1759842,0
1713332409,"drug_era group any time prior through -1 days relative to index: Amoxicillin",409,1713332,0
933724409,"drug_era group any time prior through -1 days relative to index: Phenazopyridine",409,933724,0
738818409,"drug_era group any time prior through -1 days relative to index: Doxylamine",409,738818,0
1119510409,"drug_era group any time prior through -1 days relative to index: Dextromethorphan",409,1119510,0
1102527409,"drug_era group any time prior through -1 days relative to index: Meperidine",409,1102527,0
